"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BT1","Battery_Cell","~","Switch_Toggle:CH243-2032CF","1",""
"C1","22p","~","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C2","0.1","~","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"D1,D2,D3,D6,D7","1N4148","~","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","5",""
"D4,D5","1S4","~","Diode_THT:D_A-405_P7.62mm_Horizontal","2",""
"J1,J2","Conn_01x20","~","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","2",""
"J3","Barrel_Jack_Switch","~","Connector_BarrelJack:BarrelJack_Horizontal","1",""
"J4","USB-C Power","~","A295-CTRPB-1:A295-CTRPB-1","1",""
"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8","DATA_LED","~","LED_THT:LED_D3.0mm","8",""
"LED9","Q","~","LED_THT:LED_D3.0mm","1",""
"R1,R3,R5,R6,R7,R8","100k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6",""
"R2","2.2k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R4","22k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"RN1","RN100K-8","http://www.vishay.com/docs/31509/csc.pdf","Resistor_THT:R_Array_SIP9","1",""
"RN2,RN5","RN100K-4","http://www.vishay.com/docs/31509/csc.pdf","Resistor_THT:R_Array_SIP5","2",""
"RN3","RN2.2K-8","http://www.vishay.com/docs/31509/csc.pdf","Resistor_THT:R_Array_SIP9","1",""
"RN4","RN10K-8","http://www.vishay.com/docs/31509/csc.pdf","Resistor_THT:R_Array_SIP9","1",""
"SW1","D0","","Switch_Toggle:SW_Toggle_P2.54mm_Vertical","1",""
"SW2","D1","","Switch_Toggle:SW_Toggle_P2.54mm_Vertical","1",""
"SW3","D2","","Switch_Toggle:SW_Toggle_P2.54mm_Vertical","1",""
"SW4","D3","","Switch_Toggle:SW_Toggle_P2.54mm_Vertical","1",""
"SW5","D4","","Switch_Toggle:SW_Toggle_P2.54mm_Vertical","1",""
"SW6","D5","","Switch_Toggle:SW_Toggle_P2.54mm_Vertical","1",""
"SW7","D6","","Switch_Toggle:SW_Toggle_P2.54mm_Vertical","1",""
"SW8","D7","","Switch_Toggle:SW_Toggle_P2.54mm_Vertical","1",""
"SW9","WAIT","","Switch_Toggle:SW_Toggle_P2.54mm_Vertical","1",""
"SW10","CLEAR","","Switch_Toggle:SW_Toggle_P2.54mm_Vertical","1",""
"SW11","STB SW","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"SW12","DMA-IN","","Switch_Toggle:PushSwitch","1",""
"SW13","R/W SW","","Switch_Toggle:SW_Toggle_P2.54mm_Vertical","1",""
"U1","CDP1802ACE","http://www.cosmacelf.com/publications/data-sheets/cdp1802.pdf","Package_DIP:DIP-40_W15.24mm_Socket","1",""
"U2","HM6264ALSP(300mil)","","Package_DIP:DIP-28_W7.62mm_Socket","1",""
"U3","4001","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4000bms-01bms-02bms-25bms.pdf","Package_DIP:DIP-14_W7.62mm","1",""
"U4","4013","http://www.onsemi.com/pub/Collateral/MC14013B-D.PDF","Package_DIP:DIP-14_W7.62mm","1",""
"U5","4011","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf","Package_DIP:DIP-14_W7.62mm","1",""
"U6","74HC273","https://assets.nexperia.com/documents/data-sheet/74HC_HCT273.pdf","Package_DIP:DIP-20_W7.62mm","1",""
"U7","HM6264ALSP(600mil)","","Package_DIP:DIP-28_W15.24mm_Socket","1",""
